Sample,Crystallinity Ratio,Std. Dev.
G101,0.27125,0.00151
G102,0.27410,0.00151
G104,0.26834,0.00151
G105,0.26946,0.00151
G106,0.27001,0.00151
G107,0.27018,0.00151
G109,0.26960,0.00151
G110,0.26888,0.00151
G111,0.27063,0.00151
G112,0.26983,0.00151
G301,0.23788,0.01105
G302,0.24482,0.01105
G304,0.22120,0.01105
G305,0.21759,0.01105
G306,0.21769,0.01105
G307,0.21140,0.01105
G308,0.23405,0.01105
G309,0.21605,0.01105
G310,0.22283,0.01105
G311,0.20715,0.01105
G312,0.22864,0.01105
