Sample,Crystallinity Ratio,Std. Dev.
G101,0.10350,0.00188
G102,0.10109,0.00188
G104,0.10002,0.00188
G105,0.10063,0.00188
G106,0.09649,0.00188
G107,0.10028,0.00188
G109,0.10083,0.00188
G110,0.10132,0.00188
G111,0.10038,0.00188
G112,0.09738,0.00188
G301,0.09811,0.00712
G302,0.10137,0.00712
G304,0.07865,0.00712
G305,0.08452,0.00712
G306,0.08520,0.00712
G307,0.08142,0.00712
G308,0.08770,0.00712
G309,0.08581,0.00712
G310,0.08498,0.00712
G311,0.07642,0.00712
G312,0.08466,0.00712
