Sample,Crystallinity Ratio,Std. Dev.
G101,0.19779,0.00550
G102,0.19442,0.00550
G104,0.19058,0.00550
G105,0.19362,0.00550
G106,0.18009,0.00550
G107,0.19379,0.00550
G109,0.19438,0.00550
G110,0.19447,0.00550
G111,0.19184,0.00550
G112,0.18165,0.00550
G301,0.17200,0.01549
G302,0.18022,0.01549
G304,0.12860,0.01549
G305,0.14643,0.01549
G306,0.15240,0.01549
G307,0.13623,0.01549
G308,0.14534,0.01549
G309,0.15114,0.01549
G310,0.14875,0.01549
G311,0.12693,0.01549
G312,0.14264,0.01549
