Sample,Crystallinity Ratio,Std. Dev.
G101,0.24064,0.00530
G102,0.23763,0.00530
G104,0.23449,0.00530
G105,0.23760,0.00530
G106,0.22435,0.00530
G107,0.23635,0.00530
G109,0.23765,0.00530
G110,0.23798,0.00530
G111,0.23507,0.00530
G112,0.22474,0.00530
G301,0.21141,0.01376
G302,0.21825,0.01376
G304,0.17362,0.01376
G305,0.18429,0.01376
G306,0.18745,0.01376
G307,0.17837,0.01376
G308,0.19033,0.01376
G309,0.19052,0.01376
G310,0.19080,0.01376
G311,0.17070,0.01376
G312,0.18598,0.01376
