Sample,Crystallinity Ratio,Std. Dev.
G101,0.12233,0.00259
G102,0.11836,0.00259
G104,0.11809,0.00259
G105,0.11869,0.00259
G106,0.11246,0.00259
G107,0.11762,0.00259
G109,0.11895,0.00259
G110,0.11907,0.00259
G111,0.11790,0.00259
G112,0.11407,0.00259
G301,0.10704,0.00861
G302,0.11170,0.00861
G304,0.08349,0.00861
G305,0.09118,0.00861
G306,0.09252,0.00861
G307,0.08773,0.00861
G308,0.09582,0.00861
G309,0.09229,0.00861
G310,0.09146,0.00861
G311,0.08155,0.00861
G312,0.09065,0.00861
